timestamp_us,run_time_s,state,commanded_shear_pa,commanded_flow_ml_min,commanded_step_rate_hz,temp_reservoir_c,trigger_count,fault_code
1778044271892945,0.112,RAMPING,0.0019,0.0093,1.00,36.69,0,0
1778044272000441,0.219,RAMPING,0.0037,0.0183,1.95,36.69,0,0
1778044272113370,0.332,RAMPING,0.0055,0.0277,2.95,36.72,0,0
1778044272222677,0.442,RAMPING,0.0074,0.0368,3.93,36.70,0,0
1778044272327095,0.546,RAMPING,0.0091,0.0455,4.85,36.71,1,0
1778044272439002,0.658,RAMPING,0.0110,0.0548,5.85,36.71,1,0
1778044272550938,0.770,RAMPING,0.0128,0.0642,6.84,36.70,1,0
1778044272663078,0.882,RAMPING,0.0147,0.0735,7.84,36.71,1,0
1778044272774737,0.994,RAMPING,0.0166,0.0828,8.83,36.72,1,0
1778044272884885,1.104,RAMPING,0.0184,0.0920,9.81,36.70,2,0
1778044272982773,1.202,RAMPING,0.0200,0.1002,10.68,36.71,2,0
1778044273094796,1.314,RAMPING,0.0219,0.1095,11.68,36.72,2,0
1778044273207542,1.427,RAMPING,0.0238,0.1189,12.68,36.71,2,0
1778044273320304,1.539,RAMPING,0.0257,0.1283,13.68,36.72,3,0
1778044273430448,1.650,RAMPING,0.0275,0.1375,14.66,36.70,3,0
1778044273539206,1.758,RAMPING,0.0293,0.1465,15.63,36.70,3,0
1778044273638851,1.858,RAMPING,0.0310,0.1548,16.51,36.70,3,0
1778044273751006,1.970,RAMPING,0.0328,0.1642,17.51,36.70,3,0
1778044273857382,2.076,RAMPING,0.0346,0.1730,18.46,36.69,4,0
1778044273975391,2.194,RAMPING,0.0366,0.1829,19.51,36.70,4,0
1778044274086193,2.305,RAMPING,0.0384,0.1921,20.49,36.72,4,0
1778044274194512,2.414,RAMPING,0.0402,0.2011,21.45,36.70,4,0
1778044274295015,2.514,RAMPING,0.0419,0.2095,22.35,36.69,5,0
1778044274406790,2.626,RAMPING,0.0438,0.2188,23.34,36.70,5,0
1778044274519786,2.739,RAMPING,0.0456,0.2282,24.35,36.70,5,0
1778044274631712,2.851,RAMPING,0.0475,0.2376,25.34,36.69,5,0
1778044274742377,2.961,RAMPING,0.0494,0.2468,26.32,36.70,5,0
1778044274852922,3.072,RAMPING,0.0512,0.2560,27.31,36.72,6,0
1778044274951542,3.171,RAMPING,0.0528,0.2642,28.18,36.70,6,0
1778044275063463,3.283,RAMPING,0.0547,0.2735,29.18,36.72,6,0
1778044275175113,3.394,RAMPING,0.0566,0.2828,30.17,36.72,6,0
1778044275287314,3.506,RAMPING,0.0584,0.2922,31.17,36.71,6,0
1778044275399590,3.619,RAMPING,0.0603,0.3016,32.17,36.69,7,0
1778044275511381,3.730,RAMPING,0.0622,0.3109,33.16,36.72,7,0
1778044275607561,3.827,RAMPING,0.0638,0.3189,34.01,36.70,7,0
1778044275719936,3.939,RAMPING,0.0656,0.3282,35.01,36.71,7,0
