timestamp_us,run_time_s,state,commanded_shear_pa,commanded_flow_ml_min,commanded_step_rate_hz,temp_reservoir_c,trigger_count,fault_code
1778403084574000,0.105,RAMPING,0.001,0.005,1,36.70,0,0
1778403084680000,0.211,RAMPING,0.002,0.011,1,36.70,0,0
1778403084776000,0.307,RAMPING,0.003,0.015,2,36.72,0,0
1778403084871000,0.402,RAMPING,0.004,0.020,2,36.70,0,0
1778403084981000,0.512,RAMPING,0.005,0.026,3,36.68,0,0
1778403085074000,0.605,RAMPING,0.006,0.030,3,36.70,1,0
1778403085169000,0.700,RAMPING,0.007,0.035,4,36.71,1,0
1778403085280000,0.811,RAMPING,0.008,0.041,4,36.72,1,0
1778403085373000,0.904,RAMPING,0.009,0.045,5,36.71,1,0
1778403085480000,1.011,RAMPING,0.010,0.051,5,36.71,1,0
1778403085576000,1.107,RAMPING,0.011,0.055,6,36.70,2,0
1778403085670000,1.201,RAMPING,0.012,0.060,6,36.69,2,0
1778403085779000,1.310,RAMPING,0.013,0.066,7,36.71,2,0
1778403085874000,1.405,RAMPING,0.014,0.070,7,36.72,2,0
1778403085970000,1.501,RAMPING,0.015,0.075,8,36.71,2,0
1778403086078000,1.609,RAMPING,0.016,0.080,9,36.69,3,0
1778403086172000,1.703,RAMPING,0.017,0.085,9,36.69,3,0
1778403086270000,1.801,RAMPING,0.018,0.090,10,36.72,3,0
1778403086376000,1.907,RAMPING,0.019,0.095,10,36.70,3,0
1778403086470000,2.001,RAMPING,0.020,0.100,11,36.70,3,0
1778403086570000,2.101,RAMPING,0.021,0.105,11,36.69,4,0
1778403086675000,2.206,RAMPING,0.022,0.110,12,36.70,4,0
1778403086770000,2.301,RAMPING,0.023,0.115,12,36.72,4,0
1778403086878000,2.409,RAMPING,0.024,0.120,13,36.70,4,0
1778403086972000,2.503,RAMPING,0.025,0.125,13,36.69,4,0
1778403087080000,2.611,RAMPING,0.026,0.131,14,36.71,5,0
1778403087095000,0.000,IDLE,0.000,0.000,0,36.71,5,0
