timestamp_us,run_time_s,state,commanded_shear_pa,commanded_flow_ml_min,commanded_step_rate_hz,temp_reservoir_c,trigger_count,fault_code
1778004994079981,0.106,RAMPING,0.0081,0.0407,4.34,36.71,0,0
1778004994232101,0.258,RAMPING,0.0215,0.1074,11.46,36.68,0,0
1778004994334637,0.360,RAMPING,0.0286,0.1432,15.28,36.70,0,0
1778004994436589,0.462,RAMPING,0.0326,0.1632,17.40,36.69,0,0
1778004994538599,0.564,RAMPING,0.0339,0.1696,18.09,36.69,1,0
1778004994641162,0.667,RAMPING,0.0348,0.1741,18.57,36.71,1,0
1778004994742731,0.769,RAMPING,0.0385,0.1926,20.54,36.72,1,0
1778004994844245,0.870,RAMPING,0.0474,0.2372,25.30,36.71,1,0
1778004994996769,1.023,RAMPING,0.0706,0.3529,37.64,36.70,1,0
1778004995099372,1.125,RAMPING,0.0883,0.4414,47.09,36.72,2,0
1778004995202211,1.228,RAMPING,0.1021,0.5107,54.47,36.70,2,0
1778004995304169,1.330,RAMPING,0.1081,0.5405,57.65,36.72,2,0
1778004995406192,1.432,RAMPING,0.1054,0.5268,56.19,36.69,2,0
