timestamp_us,run_time_s,state,commanded_shear_pa,commanded_flow_ml_min,commanded_step_rate_hz,temp_reservoir_c,trigger_count,fault_code
1778004982236278,0.105,RAMPING,0.0081,0.0404,4.31,36.69,0,0
1778004982388953,0.258,RAMPING,0.0215,0.1073,11.45,36.69,0,0
1778004982491957,0.361,RAMPING,0.0287,0.1433,15.29,36.72,0,0
1778004982593473,0.462,RAMPING,0.0326,0.1631,17.40,36.69,0,0
1778004982696321,0.565,RAMPING,0.0339,0.1696,18.09,36.70,1,0
1778004982798198,0.667,RAMPING,0.0348,0.1741,18.57,36.69,1,0
1778004982899670,0.768,RAMPING,0.0385,0.1925,20.54,36.70,1,0
1778004983001210,0.870,RAMPING,0.0474,0.2371,25.29,36.72,1,0
1778004983154507,1.023,RAMPING,0.0707,0.3535,37.71,36.72,1,0
1778004983257428,1.126,RAMPING,0.0884,0.4422,47.17,36.71,2,0
1778004983359816,1.229,RAMPING,0.1022,0.5110,54.50,36.72,2,0
1778004983461698,1.330,RAMPING,0.1081,0.5405,57.65,36.69,2,0
1778004983563809,1.433,RAMPING,0.1053,0.5266,56.17,36.71,2,0
