timestamp_us,run_time_s,state,commanded_shear_pa,commanded_flow_ml_min,commanded_step_rate_hz,temp_reservoir_c,trigger_count,fault_code
1778042588019577,0.106,RAMPING,0.0018,0.0088,0.94,36.71,0,0
1778042588131187,0.218,RAMPING,0.0036,0.0181,1.94,36.69,0,0
1778042588243406,0.330,RAMPING,0.0055,0.0275,2.93,36.69,0,0
1778042588343009,0.430,RAMPING,0.0072,0.0358,3.82,36.70,0,0
1778042588451028,0.538,RAMPING,0.0090,0.0448,4.78,36.70,1,0
1778042588563873,0.650,RAMPING,0.0108,0.0542,5.78,36.69,1,0
1778042588675191,0.762,RAMPING,0.0127,0.0635,6.77,36.71,1,0
1778042588783447,0.870,RAMPING,0.0145,0.0725,7.73,36.70,1,0
1778042588897240,0.984,RAMPING,0.0164,0.0820,8.75,36.70,1,0
1778042588999101,1.086,RAMPING,0.0181,0.0905,9.65,36.69,2,0
1778042589107217,1.194,RAMPING,0.0199,0.0995,10.61,36.70,2,0
1778042589219788,1.306,RAMPING,0.0218,0.1089,11.61,36.70,2,0
1778042589327025,1.414,RAMPING,0.0236,0.1178,12.57,36.72,2,0
1778042589437891,1.525,RAMPING,0.0254,0.1270,13.55,36.72,3,0
1778042589549871,1.636,RAMPING,0.0273,0.1364,14.55,36.71,3,0
1778042589654887,1.741,RAMPING,0.0290,0.1451,15.48,36.71,3,0
1778042589763798,1.850,RAMPING,0.0308,0.1542,16.45,36.70,3,0
1778042589872935,1.960,RAMPING,0.0327,0.1633,17.42,36.70,3,0
1778042589987097,2.074,RAMPING,0.0346,0.1728,18.43,36.71,4,0
1778042590098853,2.185,RAMPING,0.0364,0.1821,19.43,36.72,4,0
1778042590201497,2.288,RAMPING,0.0381,0.1907,20.34,36.71,4,0
1778042590314111,2.401,RAMPING,0.0400,0.2001,21.34,36.72,4,0
1778042590419692,2.506,RAMPING,0.0418,0.2089,22.28,36.69,5,0
1778042590531272,2.618,RAMPING,0.0436,0.2182,23.27,36.72,5,0
1778042590643126,2.730,RAMPING,0.0455,0.2275,24.26,36.69,5,0
