timestamp_us,run_time_s,state,commanded_shear_pa,commanded_flow_ml_min,commanded_step_rate_hz,temp_reservoir_c,trigger_count,fault_code
1778467573794000,0.105,RAMPING,0.004,0.018,2,36.72,0,0
1778467573890000,0.201,RAMPING,0.007,0.034,4,36.72,0,0
1778467573994000,0.305,RAMPING,0.010,0.051,5,36.68,0,0
1778467574090000,0.401,RAMPING,0.013,0.067,7,36.72,0,0
1778467574194000,0.505,RAMPING,0.017,0.084,9,36.71,0,0
1778467574291000,0.602,RAMPING,0.020,0.100,11,36.71,1,0
1778467574394000,0.705,RAMPING,0.024,0.117,13,36.69,1,0
1778467574492000,0.803,RAMPING,0.027,0.134,14,36.71,1,0
1778467574594000,0.905,RAMPING,0.030,0.151,16,36.72,1,0
1778467574694000,1.005,RAMPING,0.033,0.167,18,36.72,1,0
1778467574794000,1.105,RAMPING,0.037,0.184,20,36.72,2,0
1778467574894000,1.205,RAMPING,0.040,0.201,21,36.72,2,0
1778467574994000,1.305,RAMPING,0.043,0.217,23,36.71,2,0
1778467575094000,1.405,RAMPING,0.047,0.234,25,36.70,2,0
1778467575194000,1.505,RAMPING,0.050,0.251,27,36.72,2,0
1778467575294000,1.605,RAMPING,0.053,0.268,29,36.71,3,0
1778467575394000,1.705,RAMPING,0.057,0.284,30,36.70,3,0
1778467575492000,1.803,RAMPING,0.060,0.300,32,36.70,3,0
1778467575594000,1.905,RAMPING,0.064,0.318,34,36.71,3,0
1778467575694000,2.005,RAMPING,0.067,0.334,36,36.70,3,0
1778467575794000,2.105,RAMPING,0.070,0.351,37,36.71,4,0
1778467575894000,2.205,RAMPING,0.073,0.367,39,36.70,4,0
1778467575994000,2.305,RAMPING,0.077,0.384,41,36.70,4,0
1778467576092000,2.403,RAMPING,0.080,0.401,43,36.70,4,0
1778467576194000,2.505,RAMPING,0.083,0.417,45,36.69,4,0
1778467576294000,2.605,RAMPING,0.087,0.434,46,36.70,5,0
1778467576394000,2.705,RAMPING,0.090,0.451,48,36.71,5,0
1778467576494000,2.805,RAMPING,0.093,0.468,50,36.70,5,0
1778467576594000,2.905,RAMPING,0.097,0.484,52,36.72,5,0
1778467576694000,3.005,RAMPING,0.100,0.501,53,36.73,5,0
1778467576794000,3.105,RAMPING,0.103,0.517,55,36.70,6,0
1778467576891000,3.202,RAMPING,0.107,0.534,57,36.72,6,0
1778467576994000,3.305,RAMPING,0.110,0.551,59,36.72,6,0
1778467577094000,3.405,RAMPING,0.113,0.567,61,36.69,6,0
1778467577194000,3.505,RAMPING,0.117,0.584,62,36.73,6,0
1778467577294000,3.605,RAMPING,0.120,0.601,64,36.73,7,0
1778467577390000,3.701,RAMPING,0.123,0.617,66,36.69,7,0
1778467577494000,3.805,RAMPING,0.127,0.634,68,36.70,7,0
1778467577594000,3.905,RAMPING,0.130,0.651,69,36.72,7,0
1778467577694000,4.005,RAMPING,0.134,0.667,71,36.73,7,0
1778467577794000,4.105,RAMPING,0.137,0.684,73,36.72,8,0
1778467577894000,4.205,RAMPING,0.140,0.701,75,36.72,8,0
1778467577994000,4.305,RAMPING,0.143,0.717,77,36.72,8,0
1778467578093000,4.404,RAMPING,0.147,0.734,78,36.71,8,0
1778467578194000,4.505,RAMPING,0.150,0.751,80,36.72,8,0
1778467578294000,4.605,RAMPING,0.154,0.768,82,36.72,9,0
1778467578394000,4.705,RAMPING,0.157,0.784,84,36.73,9,0
1778467578495000,4.806,RAMPING,0.160,0.801,85,36.72,9,0
1778467578591000,4.902,RAMPING,0.163,0.817,87,36.72,9,0
1778467578694000,5.005,RAMPING,0.167,0.834,89,36.73,9,0
1778467578792000,5.103,RAMPING,0.170,0.851,91,36.71,10,0
1778467578894000,5.205,RAMPING,0.174,0.868,93,36.72,10,0
1778467578994000,5.305,RAMPING,0.177,0.884,94,36.72,10,0
1778467579094000,5.405,RAMPING,0.180,0.901,96,36.73,10,0
1778467579194000,5.505,RAMPING,0.183,0.917,98,36.72,10,0
1778467579272000,0.000,IDLE,0.000,0.000,0,36.72,11,0
