timestamp_us,run_time_s,state,commanded_shear_pa,commanded_flow_ml_min,commanded_step_rate_hz,temp_reservoir_c,trigger_count,fault_code
1778042633681567,0.107,RAMPING,0.0018,0.0089,0.95,36.72,0,0
1778042633779419,0.205,RAMPING,0.0034,0.0171,1.82,36.69,0,0
1778042633888477,0.314,RAMPING,0.0052,0.0262,2.79,36.71,0,0
1778042634003341,0.429,RAMPING,0.0072,0.0358,3.81,36.71,0,0
1778042634113386,0.539,RAMPING,0.0090,0.0449,4.79,36.69,1,0
1778042634227047,0.653,RAMPING,0.0109,0.0544,5.80,36.68,1,0
1778042634328296,0.754,RAMPING,0.0126,0.0628,6.70,36.69,1,0
1778042634435956,0.862,RAMPING,0.0144,0.0718,7.66,36.72,1,0
1778042634545545,0.971,RAMPING,0.0162,0.0809,8.63,36.70,1,0
1778042634655801,1.082,RAMPING,0.0180,0.0901,9.61,36.71,2,0
1778042634765859,1.192,RAMPING,0.0199,0.0993,10.59,36.68,2,0
1778042634875011,1.301,RAMPING,0.0217,0.1084,11.56,36.69,2,0
1778042634984212,1.410,RAMPING,0.0235,0.1175,12.53,36.72,2,0
1778042635091832,1.518,RAMPING,0.0253,0.1265,13.49,36.72,3,0
1778042635202839,1.629,RAMPING,0.0271,0.1357,14.48,36.72,3,0
1778042635312847,1.739,RAMPING,0.0290,0.1449,15.45,36.72,3,0
1778042635421607,1.847,RAMPING,0.0308,0.1539,16.42,36.72,3,0
1778042635532125,1.958,RAMPING,0.0326,0.1632,17.40,36.70,3,0
1778042635641259,2.067,RAMPING,0.0344,0.1722,18.37,36.72,4,0
1778042635747864,2.174,RAMPING,0.0362,0.1811,19.32,36.70,4,0
1778042635859044,2.285,RAMPING,0.0381,0.1904,20.31,36.69,4,0
1778042635971784,2.398,RAMPING,0.0400,0.1998,21.31,36.71,4,0
1778042636083484,2.509,RAMPING,0.0418,0.2091,22.30,36.72,5,0
1778042636195195,2.621,RAMPING,0.0437,0.2184,23.30,36.70,5,0
1778042636305466,2.731,RAMPING,0.0455,0.2276,24.28,36.72,5,0
1778042636405122,2.831,RAMPING,0.0472,0.2359,25.16,36.71,5,0
1778042636515562,2.941,RAMPING,0.0490,0.2451,26.14,36.70,5,0
1778042636622790,3.049,RAMPING,0.0508,0.2540,27.10,36.71,6,0
1778042636739574,3.165,RAMPING,0.0528,0.2638,28.14,36.70,6,0
1778042636851531,3.277,RAMPING,0.0546,0.2731,29.13,36.73,6,0
1778042636963483,3.389,RAMPING,0.0565,0.2824,30.13,36.69,6,0
1778042637060635,3.486,RAMPING,0.0581,0.2905,30.99,36.69,7,0
1778042637171277,3.597,RAMPING,0.0600,0.2998,31.97,36.73,7,0
1778042637283430,3.709,RAMPING,0.0618,0.3091,32.97,36.72,7,0
1778042637389929,3.816,RAMPING,0.0636,0.3180,33.92,36.73,7,0
1778042637499310,3.925,RAMPING,0.0654,0.3271,34.89,36.72,7,0
1778042637608538,4.034,RAMPING,0.0672,0.3362,35.86,36.72,8,0
1778042637718327,4.144,RAMPING,0.0691,0.3453,36.84,36.70,8,0
1778042637827356,4.253,RAMPING,0.0709,0.3544,37.81,36.73,8,0
1778042637939236,4.365,RAMPING,0.0727,0.3637,38.80,36.70,8,0
1778042638051715,4.477,RAMPING,0.0746,0.3731,39.80,36.73,8,0
1778042638163375,4.589,RAMPING,0.0765,0.3824,40.79,36.72,9,0
1778042638273983,4.700,RAMPING,0.0783,0.3916,41.78,36.71,9,0
1778042638382827,4.809,RAMPING,0.0801,0.4007,42.74,36.71,9,0
1778042638484142,4.910,RAMPING,0.0818,0.4092,43.64,36.74,9,0
1778042638595598,5.021,RAMPING,0.0837,0.4184,44.63,36.70,10,0
1778042638706823,5.133,RAMPING,0.0855,0.4277,45.62,36.71,10,0
1778042638819671,5.245,RAMPING,0.0874,0.4371,46.63,36.73,10,0
1778042638929894,5.356,RAMPING,0.0893,0.4463,47.61,36.70,10,0
1778042639043057,5.469,RAMPING,0.0911,0.4557,48.61,36.72,10,0
1778042639139193,5.565,RAMPING,0.0927,0.4637,49.47,36.70,11,0
1778042639251349,5.677,RAMPING,0.0946,0.4731,50.46,36.73,11,0
1778042639358182,5.784,RAMPING,0.0964,0.4820,51.41,36.70,11,0
1778042639467432,5.893,RAMPING,0.0982,0.4911,52.38,36.74,11,0
